edge_1based,curl_mode_1,curl_mode_2,curl_mode_3,curl_mode_4,curl_mode_5,curl_mode_6,curl_mode_7,curl_mode_8,curl_mode_9,curl_mode_10,curl_mode_11,curl_mode_12
74,0.16669109042261118,-0.056971713349077004,0.052105474835487338,0.089418643350449745,-0.054007294137813223,-1.0550074945602779e-15,0.08489652904713578,0.094345655815685062,-0.0049094682929411507,-0.036633806243171502,-0.0082626566723627351,0.011533036029905391
75,-0.0074257787606816887,0.023250964512350331,0.036559538372855735,0.058577015330556814,-0.037267476267215133,-3.0954254070795438e-16,-0.015133541930620026,0.04104646008706607,-0.049802579648802719,0.085894534889012122,-0.0078412250925834707,0.018224167007564556
76,0.15883903563032825,0.030223426666523105,-0.092961957576984985,0.036111423859505443,-0.0192824212727008,-2.8363400899001646e-16,0.0010916534908399912,-0.053023324668420267,0.023394199467234832,-0.0038825043570586562,-0.0023109219267669822,0.010378416582535176
77,-0.17758046787309623,-0.02065739281808196,0.079024858129674219,-0.17679478187682929,0.069697631557447542,9.5801667008597743e-17,0.082997536002998293,-0.078296938493185794,0.020385515159724678,-0.026508889866692906,0.001720223331475001,-0.0030838770592365701
78,-0.23262509611067791,0.0046546269578972167,-0.015825828888656808,0.13751855535352667,-0.030749754770208242,2.7866336743741647e-16,-0.056394833332040213,0.035523938095247343,0.0063501731282104637,-0.012303891924386284,0.0014586096237004984,-0.0030123920626759122
79,0.12047672964172228,0.010666903090526087,-0.0021828536482957472,-0.044849960284124399,0.067420749039605279,5.0819923478665572e-16,-0.018345861760172694,0.062987464962882392,0.016352468950008026,0.013638031849912262,-0.0095661851240350648,0.056230919033788046
80,0.076230799582118092,0.059816610487263971,0.093929356721591112,0.021464606473235739,0.047988382052808046,8.8787620445709191e-17,-0.032947378942646141,0.04074668325214513,-0.029993945371920707,-0.006152443813398278,0.0031081582336814594,-0.026620804339763004
81,0.015456454687125191,0.021169259665704078,0.048485905785593329,0.099583850579771108,-0.10084048635066629,-9.6936352055406469e-17,0.051304574859443827,-0.09606263163292697,0.027987718076183069,0.0066356744085221773,0.00067013003136242666,-0.00025775101442478815
82,-0.12006858709928489,-0.019295174994884201,0.01336462067808767,-0.09812463121781248,-0.013034590599872378,-2.7288628282768021e-16,-0.1078768255097837,0.11469422542585359,-0.018657840043948964,0.011266791093920673,-0.0021375592292924993,0.0039338810508111012
83,-0.20708881597430698,-0.022150154341174552,-0.14496492855953777,0.04345424328402854,-0.0010907879535260448,2.5818447431476768e-16,0.041126823865641246,-0.012529829878753659,-0.014158492511238619,0.026979071651654894,-0.0014520019362839203,0.0027807671040993671
84,0.076285546510030638,-0.004942293607324514,-0.0069743219992856667,0.010483910904186419,-0.021108595962104602,4.4051168808353922e-16,-0.078019552099471173,-0.063302152421801844,-0.0090132220016689822,0.032812780937243637,0.018591912976837623,-0.3190172539551836
85,0.11945667578927495,-0.0075595457971538819,-0.11441022273599954,-0.1162012655615156,-0.051583212085769284,-1.3432980568640446e-16,-0.01455395706721402,0.081138733115336828,-0.0048737433568936915,-0.015184020486812996,-0.0030168722879099861,0.076017099853896986
86,0.063097544453935686,0.018174399043763056,-0.04639062450882199,-0.0039029720221313395,0.072403391270641271,2.9903475911027655e-16,0.086654658082447406,-0.043872417545120723,0.0017946195001383308,-0.019253908104106827,-0.011109406069735418,0.12933651807512223
87,0.014977402449178244,-0.0055195185468930475,0.008329657659096032,-0.008690363283163232,-0.045270447481336969,-1.3023920667417146e-16,0.023574497403284506,-0.034151534675910478,0.043138170667637282,-0.024771286750762629,0.017951560988380272,0.584093509999972
88,0.031203255449850521,-0.017690597363149978,0.046680521915885322,0.046835588388899348,-0.062294193432311441,6.6353701798998574e-16,-0.052167569172488798,0.054620333692636101,-0.013024863975261886,0.016835353558064647,-0.029960405490074733,-0.15072829159496468
89,0.06258012488517628,-0.014171057832548163,0.023931316755451904,0.055510319498380548,0.02460114834103181,-1.3751619750520279e-16,-0.014685481817003739,0.006494455470680522,0.034893685190932638,-0.0095894935478514909,0.039087546910909793,-0.32869215879957092
90,0.044396869610754675,-0.010273774969394842,-0.0036884196505147498,0.044375380845803634,0.062057075038885204,-4.4315172802039724e-16,0.0090375572796709269,-0.06205743301197323,0.046524650226759875,0.1308609628236837,-0.014413064124409963,-0.27503575772713607
91,0.11983079096200623,-0.0069250373412996788,0.057196044263595591,0.1153456401986345,0.11401948547116535,2.9650867740881882e-16,-0.047613283840019338,-0.0086897891732788321,-0.073836195973563404,-0.077500369334115998,0.00067434109379421302,0.19857127734367644
92,0.02184200311314333,0.0060161680460867444,0.013503871479853866,-0.047577255704869093,-0.0089988452992269125,-5.0164823010299925e-17,-0.042071672517861085,0.16157914379928279,0.10507766428309738,0.062193838400100121,0.0030351197367693822,0.17594144148485577
93,0.057249292224707364,-0.011456105843281418,0.031345340569978279,-0.014874144182218781,-0.056954633479109236,-1.0507977921578648e-15,0.053863063634027042,-0.053685819642659463,-0.049335698711623244,-0.055480450522812329,0.0072373904334329768,0.097570261059528055
94,0.037943159386078479,-0.01751192332692765,-0.020973389960753951,-0.053517423733127505,-0.047343767217420174,3.8563828118634563e-16,0.0019823092595453711,-0.026035005573736919,0.0094966122733302835,-0.0084182561890246976,-0.0012186577270057769,0.13449008264708834
95,0.037751822665453752,0.0050869224598047783,0.0046602012599227249,0.024239252309141222,0.012268324227682488,1.0898677652798444e-15,-0.054930182329823087,0.11541591416268315,0.047767083377548314,0.057298801641731505,-0.021058294381110367,0.050503352622604483
