edge_1based,gradient_mode_1,gradient_mode_2,gradient_mode_3,gradient_mode_4,gradient_mode_5,gradient_mode_6,gradient_mode_7,gradient_mode_8,gradient_mode_9,gradient_mode_10,gradient_mode_11,gradient_mode_12
101,0.089279741826552697,0.032223187492750931,0.052133921273149281,-0.060977060712158408,0.040926295169688223,0.058167550396965792,-0.068730628227559695,-0.072833843870170792,-0.0578316172479139,0.00853078934864724,0.016966613552326468,0.12303180850293775
102,0.10383122530951933,-0.030313206388405779,0.021030211638129726,-0.050376085657142092,-0.058698719814596997,-0.028713967059001047,0.071570987455068763,0.0090829959599865555,-0.0540004672103956,0.011689849143215365,0.029064235853498682,0.28598042314096772
103,0.083495825598675646,0.026389038208016181,0.0229760882037197,-0.083753657739580475,-0.062368992482134497,0.071480688936462269,0.049535408888545358,-0.17920110330437453,0.024260900922178745,0.0045129931542260875,-0.0070749527756218261,0.018322386091730345
104,0.083243689598963472,0.01097007305804557,-0.015418005081567779,-0.079168587582703787,0.031102598048415184,0.092675312434904997,-0.032937422737672535,-0.17661893347962582,0.011363444510920757,-0.0097992466420697005,-0.0088450861730598306,0.07704842235468945
105,0.097795173081930281,-0.051566320823111238,-0.046521714716587302,-0.068567612527687533,-0.068522416935870079,0.0057937949789381611,0.10736419294495587,-0.09470209364946848,0.015194594548438987,-0.0066401868475015856,0.003252536128112396,0.23999703699271943
106,-0.0002521359997121971,-0.015418965149970643,-0.038394093285287451,0.0045850701568766715,0.093471590530549598,0.02119462349844272,-0.082472831626217963,0.0025821698247487576,-0.012897456411257981,-0.014312239796295805,-0.0017701333974380097,0.058726036262959205
107,0.01429934748325473,-0.077955359031127408,-0.069497802920306967,0.015186045211892953,-0.0061534244537356231,-0.065686893957524112,0.057828784056410454,0.084499009654906074,-0.0090663063737397576,-0.011153180001727664,0.010327488903734203,0.22167465090098923
108,0.15767661674195943,0.00086007343472186315,-0.055400942318272459,-0.055810341491285921,0.036238867130567259,-0.058952607079360175,-0.090961684473053528,0.083476875879480814,0.048839913560054134,-0.03797394849599129,0.0074249000404085531,0.052025702474706538
109,0.10372637810481224,0.0028774469296118299,-0.023422796139025794,-0.056533504280207564,0.02527502238375462,-0.06175558005958303,0.15976981708892712,0.18065033807940983,0.0079400246243625967,0.010611516752606347,-0.024249694083631507,-0.019020550494369046
110,0.014551483482966905,-0.062536393881156699,-0.03110370963501953,0.010600975055016244,-0.099625014984285332,-0.086881517455966839,0.14030161568262839,0.081916839830157351,0.0038311500375182543,0.0031590597945681184,0.012097622301172208,0.16294861463802995
111,0.12755065595224105,-0.034493120729429026,-0.065537425203964453,-0.055256847188182155,-0.028497299753070231,-0.087946552184287166,0.1112923584151381,0.10863030030028001,-0.038940723190635781,0.028555516634640121,0.039099996114782716,-0.12239962293107816
112,0.10397851410452445,0.01829641207958253,0.014971297146261692,-0.061118574437084211,-0.068196568146795047,-0.082950203558025695,0.24224264871514509,0.17806816825466104,0.020837481035620602,0.024923756548902158,-0.0224795606861935,-0.077746586757328207
113,0.034216687166646144,-0.12734578123001222,0.012971619017760417,0.0060687073144964857,-0.082500715181351048,0.031056500334904473,-0.079052151454452005,0.028045336642583015,0.0018215723155233371,0.0013085158712078382,-0.016099452735968859,-0.23295128629122899
114,0.10752279710860076,-0.12082944703021178,-0.04973805013839671,0.017166271766226739,0.081014299337049678,-0.0032668954633945663,0.00031218818803362136,-0.064894988728351588,0.034237343036562159,-0.058489482894701045,-0.015015172479820402,-0.20672023354489946
